Year,Month,CPI,UER,CCInterest,PLRateOfInt,WagePerHour,Advertising,HLD_NYDY,HLD_MLKJ,HLD_VLND,HLD_PRES,HLD_ESTR,HLD_MTHR,HLD_MOMR,HLD_FTHR,HLD_INDO,HLD_INDA,HLD_LABR,HLD_CLMB,HLD_HLWE,HLD_VTRN,HLD_THKS,HLD_CHEV,HLD_CHRS,HLD_NYRE,Sales
2009 , Jan,233.402,7.8,12.03,11.44,22.05,137,1,1,,,,,,,,,,,,,,,,,1755
2009 , Feb,234.663,8.3,12.97,11.05,22.22,200,,,1,1,,,,,,,,,,,,,,,1729
2009 , Mar,235.067,8.7,12.97,11.05,22.22,0,,,,,,,,,,,,,,,,,,,2256
2009 , Apr,235.582,9,12.97,11.05,22.13,214,,,,,1,,,,,,,,,,,,,,2662
2009 , May,235.975,9.4,13.32,11.25,22.04,0,,,,,,1,1,,,,,,,,,,,,2732
2009 , Jun,237.172,9.5,13.32,11.25,21.96,0,,,,,,,,1,,,,,,,,,,,2220
2009 , Jul,237.6,9.5,13.32,11.25,22,0,,,,,,,,,1,1,,,,,,,,,2164
2009 , Aug,238.282,9.6,13.71,10.89,22.16,0,,,,,,,,,,,,,,,,,,,2371
2009 , Sep,238.568,9.8,13.71,10.89,22.2,0,,,,,,,,,,,1,,,,,,,,2421
2009 , Oct,238.38,10,13.71,10.89,22.27,0,,,,,,,,,,,,1,1,,,,,,2579
2009 , Nov,238.777,9.9,13.6,11.2,22.44,0,,,,,,,,,,,,,,1,1,,,,2521
2009 , Dec,238.427,9.9,13.6,11.2,22.38,0,,,,,,,,,,,,,,,,1,1,1,3390
2010 , Jan,238.97,9.8,13.6,11.2,22.51,248,1,1,,,,,,,,,,,,,,,,,2142
2010 , Feb,238.862,9.8,14.26,10.83,22.57,0,,,1,1,,,,,,,,,,,,,,,2413
2010 , Mar,240.101,9.9,14.26,10.83,22.48,0,,,,,,,,,,,,,,,,,,,3102
2010 , Apr,240.529,9.9,14.26,10.83,22.53,116,,,,,1,,,,,,,,,,,,,,3161.5
2010 , May,241.075,9.6,13.84,11,22.6,0,,,,,,1,1,,,,,,,,,,,,3221
2010 , Jun,240.817,9.4,13.84,11,22.34,0,,,,,,,,1,,,,,,,,,,,2756
2010 , Jul,241.147,9.4,13.84,11,22.41,0,,,,,,,,,1,1,,,,,,,,,2749
2010 , Aug,241.569,9.5,13.59,10.71,22.55,0,,,,,,,,,,,,,,,,,,,2807
2010 , Sep,241.485,9.5,13.59,10.71,22.6,165,,,,,,,,,,,1,,,,,,,,2919
2010 , Oct,241.981,9.4,13.59,10.71,22.7,0,,,,,,,,,,,,1,1,,,,,,3071
2010 , Nov,241.96,9.8,13.44,10.94,22.69,150,,,,,,,,,,,,,,1,1,,,,3276
2010 , Dec,241.874,9.3,13.44,10.94,22.76,0,,,,,,,,,,,,,,,,1,1,1,4360
2011 , Jan,242.639,9.1,13.44,10.94,23.16,0,1,1,,,,,,,,,,,,,,,,,2193
2011 , Feb,243.832,9,13.44,10.98,22.99,0,,,1,1,,,,,,,,,,,,,,,2620
2011 , Mar,245.617,9,13.44,10.98,22.9,0,,,,,,,,,,,,,,,,,,,3266
2011 , Apr,246.489,9.1,13.44,10.98,22.96,0,,,,,1,,,,,,,,,,,,,,3414
2011 , May,248.073,9,12.89,11.37,23.06,0,,,,,,1,1,,,,,,,,,,,,3340
2011 , Jun,248.505,9.1,12.89,11.37,22.81,221,,,,,,,,1,,,,,,,,,,,3232
2011 , Jul,249.164,9,12.89,11.37,22.94,0,,,,,,,,,1,1,,,,,,,,,2896
2011 , Aug,250.058,9,12.28,10.8,22.85,0,,,,,,,,,,,,,,,,,,,3245
2011 , Sep,250.559,9,12.28,10.8,23.05,0,,,,,,,,,,,1,,,,,,,,3182
2011 , Oct,250.051,8.8,12.28,10.8,23.3,0,,,,,,,,,,,,1,1,,,,,,3340.5
2011 , Nov,249.317,8.6,12.36,10.36,23.15,0,,,,,,,,,,,,,,1,1,,,,3499
2011 , Dec,248.307,8.5,12.36,10.36,23.22,0,,,,,,,,,,,,,,,,1,1,1,4775
2012 , Jan,249.322,8.3,12.36,10.36,23.56,0,1,1,,,,,,,,,,,,,,,,,2287
2012 , Feb,250.285,8.3,12.34,10.89,23.4,0,,,1,1,,,,,,,,,,,,,,,2800
2012 , Mar,251.887,8.2,12.34,10.89,23.39,0,,,,,,,,,,,,,,,,,,,3566
2012 , Apr,252.349,8.2,12.34,10.89,23.61,0,,,,,1,,,,,,,,,,,,,,3724
2012 , May,252.652,8.2,12.06,10.94,23.32,0,,,,,,1,1,,,,,,,,,,,,3800
2012 , Jun,252.406,8.2,12.06,10.94,23.27,208,,,,,,,,1,,,,,,,,,,,3086
2012 , Jul,252.016,8.2,12.06,10.94,23.48,0,,,,,,,,,1,1,,,,,,,,,2877
2012 , Aug,253.472,8.1,11.95,10.37,23.26,201,,,,,,,,,,,,,,,,,,,3059
2012 , Sep,254.554,7.8,11.95,10.37,23.67,0,,,,,,,,,,,1,,,,,,,,3113.5
2012 , Oct,254.277,7.8,11.95,10.37,23.52,0,,,,,,,,,,,,1,1,,,,,,3168
2012 , Nov,254.285,7.7,11.88,10.64,23.58,0,,,,,,,,,,,,,,1,1,,,,3558
2012 , Dec,253.555,7.9,11.88,10.64,23.85,0,,,,,,,,,,,,,,,,1,1,1,4824
2013 , Jan,254.807,8,11.88,10.64,23.88,0,1,1,,,,,,,,,,,,,,,,,2320
2013 , Feb,256.234,7.7,11.94,10.12,23.9,0,,,1,1,,,,,,,,,,,,,,,2872
2013 , Mar,256.589,7.5,11.94,10.12,23.84,0,,,,,,,,,,,,,,,,,,,3687
2013 , Apr,255.967,7.6,11.94,10.12,23.92,0,,,,,1,,,,,,,,,,,,,,3883
2013 , May,256.27,7.5,11.95,10.34,23.8,0,,,,,,1,1,,,,,,,,,,,,4170
2013 , Jun,256.911,7.5,11.95,10.34,23.92,0,,,,,,,,1,,,,,,,,,,,3360
2013 , Jul,257.326,7.3,11.95,10.34,23.81,0,,,,,,,,,1,1,,,,,,,,,3320
2013 , Aug,257.659,7.3,11.88,10.13,23.8,0,,,,,,,,,,,,,,,,,,,3539
2013 , Sep,258.504,7.2,11.88,10.13,24.16,0,,,,,,,,,,,1,,,,,,,,3720
2013 , Oct,257.069,7.2,11.88,10.13,24.04,0,,,,,,,,,,,,1,1,,,,,,3590
2013 , Nov,257.377,6.9,11.85,10.22,24.11,0,,,,,,,,,,,,,,1,1,,,,3834
2013 , Dec,257.284,6.7,11.85,10.22,24.3,0,,,,,,,,,,,,,,,,1,1,1,4865
2014 , Jan,259.596,6.6,11.85,10.22,24.35,0,1,1,,,,,,,,,,,,,,,,,2961
2014 , Feb,259.019,6.7,11.83,10.09,24.58,0,,,1,1,,,,,,,,,,,,,,,3381
2014 , Mar,259.971,6.7,11.83,10.09,24.5,0,,,,,,,,,,,,,,,,,,,4268
2014 , Apr,259.985,6.2,11.83,10.09,24.4,0,,,,,1,,,,,,,,,,,,,,4223
2014 , May,261.225,6.3,11.83,9.57,24.3,0,,,,,,1,1,,,,,,,,,,,,4421
2014 , Jun,261.35,6.1,11.83,9.57,24.42,0,,,,,,,,1,,,,,,,,,,,3905
2014 , Jul,261.498,6.2,11.83,9.57,24.31,0,,,,,,,,,1,1,,,,,,,,,3733
2014 , Aug,261.075,6.2,11.82,10.73,24.32,0,,,,,,,,,,,,,,,,,,,4067
2014 , Sep,261.074,5.9,11.82,10.73,24.5,0,,,,,,,,,,,1,,,,,,,,4481
2014 , Oct,260.5,5.7,11.82,10.73,24.52,0,,,,,,,,,,,,1,1,,,,,,4434
2014 , Nov,259.382,5.8,11.99,10.47,24.78,0,,,,,,,,,,,,,,1,1,,,,4525
2014 , Dec,258.08,5.6,11.99,10.47,24.59,0,,,,,,,,,,,,,,,,1,1,1,5664
2015 , Jan,258.376,5.7,11.99,10.47,24.88,0,1,1,,,,,,,,,,,,,,,,,3041
2015 , Feb,259.24,5.5,11.98,9.85,25.05,0,,,1,1,,,,,,,,,,,,,,,3646
2015 , Mar,259.647,5.4,11.98,9.85,25.04,0,,,,,,,,,,,,,,,,,,,4294
2015 , Apr,259.959,5.4,11.98,9.85,24.94,0,,,,,1,,,,,,,,,,,,,,4353.5
2015 , May,261.066,5.5,12.04,9.69,24.88,0,,,,,,1,1,,,,,,,,,,,,4413
2015 , Jun,261.512,5.3,12.04,9.69,24.77,0,,,,,,,,1,,,,,,,,,,,3899
2015 , Jul,261.199,5.2,12.04,9.69,24.83,0,,,,,,,,,1,1,,,,,,,,,3817
2015 , Aug,261.347,5.1,12.1,9.8,25.04,0,,,,,,,,,,,,,,,,,,,3897
2015 , Sep,261.887,5,12.1,9.8,25.05,0,,,,,,,,,,,1,,,,,,,,3881
2015 , Oct,261.515,5,12.1,9.8,25.14,183,,,,,,,,,,,,1,1,,,,,,4372
2015 , Nov,261.009,5,12.22,9.66,25.38,0,,,,,,,,,,,,,,1,1,,,,4401
2015 , Dec,259.941,5,12.22,9.66,25.21,0,,,,,,,,,,,,,,,,1,1,1,5874
2016 , Jan,260.342,4.9,12.22,9.66,25.5,0,1,1,,,,,,,,,,,,,,,,,
2016 , Feb,260.875,4.9,12.31,10.03,25.49,0,,,1,1,,,,,,,,,,,,,,,
2016 , Mar,261.508,5,12.31,10.03,25.49,0,,,,,,,,,,,,,,,,,,,
2016 , Apr,262.619,5,12.31,10.03,25.6,0,,,,,1,,,,,,,,,,,,,,
2016 , May,263.312,4.7,12.16,9.65,25.68,0,,,,,,1,1,,,,,,,,,,,,
2016 , Jun,263.877,4.9,12.16,9.65,25.42,0,,,,,,,,1,,,,,,,,,,,
2016 , Jul,263.722,4.9,12.16,9.65,25.53,0,,,,,,,,,1,1,,,,,,,,,
2016 , Aug,264.16,4.9,12.51,9.64,25.52,0,,,,,,,,,,,,,,,,,,,
2016 , Sep,264.602,4.9,12.51,9.64,25.74,0,,,,,,,,,,,1,,,,,,,,
2016 , Oct,264.738,4.8,12.51,9.64,26.04,0,,,,,,,,,,,,1,1,,,,,,
2016 , Nov,265.203,4.6,12.41,9.45,25.87,0,,,,,,,,,,,,,,1,1,,,,
2016 , Dec,265.421,4.7,12.41,9.45,25.9,0,,,,,,,,,,,,,,,,1,1,1,
